x,y,phi
4.300000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00
4.311232372761200793e+01,1.799973674283826597e+01,-4.687463375726786709e-03
4.322475950911615428e+01,1.799925171158208315e+01,-3.940185954920735929e-03
4.333992377018713427e+01,1.799886220649647939e+01,-2.824127848644537517e-03
4.345380707155196376e+01,1.799854419460607957e+01,-2.760730686482583320e-03
4.356563113124443021e+01,1.799817973196218901e+01,-3.757747615497493334e-03
4.367736715474150344e+01,1.799775488171155757e+01,-3.846750736367172008e-03
4.378895058217749181e+01,1.799739650809867442e+01,-2.576647234275656218e-03
4.390223153046080284e+01,1.799705175614764840e+01,-3.510005321218957752e-03
4.415078650021875006e+01,1.799632664135646465e+01,-2.324621399826265651e-03
4.439313372312150818e+01,1.799600386462149260e+01,-3.391313780993707172e-04
4.463642452075933420e+01,1.799603025958941416e+01,5.561142485898969536e-04
4.487933607283731874e+01,1.799677895618713208e+01,5.608221868819443512e-03
4.512582732451946299e+01,1.799895398257167400e+01,1.203921934167717991e-02
4.537038657102468875e+01,1.800244607482322934e+01,1.651709159120876014e-02
4.561927943956175824e+01,1.800741899739803387e+01,2.343793821849041170e-02
4.586648860214688028e+01,1.801405494777948846e+01,3.023610127421905505e-02
4.604540127683047501e+01,1.802011241448412804e+01,3.745226948664964056e-02
4.622657173754190296e+01,1.802745610933628484e+01,4.357282401205993944e-02
4.640516095447743794e+01,1.803577927653838486e+01,4.956996608967571827e-02
4.658359152055762564e+01,1.804523843443709552e+01,5.635708120996799075e-02
4.676259624651601854e+01,1.805594221113587139e+01,6.309280011502335639e-02
4.694179348932443929e+01,1.806788050923440636e+01,6.995258223906154760e-02
4.712254110600473211e+01,1.808115635858753478e+01,7.668340481427229904e-02
4.730135057531205689e+01,1.809546358729248894e+01,8.300403095901698336e-02
4.748507603854596226e+01,1.811065003648766591e+01,8.193776159284865690e-02
4.766513475614625150e+01,1.812542859928026928e+01,8.184781991855258343e-02
4.784321163106961450e+01,1.814003523697634890e+01,8.183442715984534654e-02
4.802411821600411912e+01,1.815485754179921329e+01,8.166730434725220922e-02
4.820224481296089181e+01,1.816945621656995513e+01,8.188064571295722294e-02
4.838116147997349259e+01,1.818413764457612913e+01,8.186718975918501340e-02
4.856225114457513570e+01,1.819893538396514998e+01,8.120047338172758922e-02
4.874404116517651886e+01,1.821384808225877094e+01,8.249808162332888939e-02
4.898732169620824806e+01,1.823396226643105678e+01,8.248461462074629935e-02
4.922936894658229789e+01,1.825394357827249792e+01,8.224444153602630814e-02
4.947242527338958951e+01,1.827386107511471636e+01,8.128220176241190975e-02
4.971508308554198408e+01,1.829366839551052237e+01,8.160976446411043195e-02
4.996442019756931074e+01,1.831403587177344505e+01,8.140130673063086797e-02
5.021031038992438766e+01,1.833427487989474258e+01,8.284670810916659744e-02
5.045215346762137187e+01,1.835452066947846461e+01,8.419294932236388862e-02
5.069624234724199852e+01,1.837513232308699784e+01,8.429379718303785241e-02
5.093987406582617439e+01,1.839573009461943798e+01,8.439445701979510217e-02
5.118505877848237162e+01,1.841672053836600043e+01,8.641053987182976959e-02
5.144137317056947722e+01,1.843891709177685101e+01,8.635630952072724520e-02
5.168779322722477332e+01,1.846097023870307297e+01,9.215636950756707357e-02
5.193263617538733001e+01,1.848457992046918719e+01,1.001049197403167806e-01
5.217371212390902002e+01,1.850981673562866447e+01,1.085034356032866104e-01
5.241482018700114764e+01,1.853700089595751166e+01,1.160418884876775886e-01
5.265664298210418082e+01,1.856611229500303040e+01,1.235714264391647998e-01
5.283922040804061027e+01,1.858909815758964967e+01,1.269038225154231203e-01
5.301683141273977640e+01,1.861183683763587027e+01,1.277612004041313865e-01
5.319436829477562867e+01,1.863460119893370859e+01,1.272936320589335146e-01
5.337167780315107279e+01,1.865734074900753825e+01,1.278093997825587858e-01
5.356304785743404295e+01,1.868192038679486444e+01,1.276725497144322596e-01
5.374285016702423690e+01,1.870497599410595768e+01,1.273906595059589864e-01
5.392252051258564194e+01,1.872796671851252270e+01,1.271472851869991649e-01
5.409913647380011525e+01,1.875056383492566070e+01,1.273598289995198640e-01
5.433931132661569308e+01,1.878148750342444018e+01,1.287408062283645627e-01
5.457962041279989052e+01,1.881261394621971661e+01,1.288782763155965072e-01
5.481962300042356873e+01,1.884373881103098469e+01,1.290532360437255943e-01
5.506713036975280318e+01,1.887590121124927123e+01,1.293890373288296980e-01
5.530832613400076525e+01,1.890734333546195955e+01,1.298677035772839716e-01
5.554907102355948467e+01,1.893884840631941913e+01,1.303832904518085756e-01
5.578994811060464087e+01,1.897036745913638001e+01,1.298406175787742700e-01
5.603903926023665605e+01,1.900290568980529216e+01,1.299440384388658998e-01
5.629136562065978211e+01,1.903603046717949709e+01,1.311181241766147809e-01
5.653219372854791658e+01,1.906777870272018305e+01,1.310291189982659144e-01
5.677474282571017739e+01,1.909963314206760643e+01,1.301400167758701709e-01
5.701480405548559816e+01,1.913108286064711194e+01,1.303904044557100128e-01
5.725455565781132350e+01,1.916257598505135462e+01,1.308286348957878320e-01
5.749503066352441039e+01,1.919425303686200124e+01,1.311172237009720076e-01
5.775529221465712482e+01,1.922855116619650673e+01,1.309393322327683518e-01
5.799724931076509193e+01,1.926050701710740398e+01,1.316854794785919380e-01
5.823736504551430215e+01,1.929254409342416565e+01,1.335947220840786320e-01
5.847728707747258170e+01,1.932494789428434956e+01,1.349000219780435161e-01
5.871719433315990244e+01,1.935753052762178683e+01,1.350750520703007662e-01
5.895705267759293378e+01,1.939088149755925627e+01,1.412422095561942093e-01
