var_x,var_y,var_heading
4.000000000000000000e+00,4.000000000000000000e+00,7.615435494667714168e-03
1.393719956877103705e+00,3.597130045406100152e+00,1.507574433929637688e-03
8.480678637708704004e-01,3.447860093284307315e+00,1.086587730682043703e-03
6.106786989795605081e-01,3.322920421528957835e+00,9.265456811263631832e-04
4.775019494553653931e-01,3.210175654763641528e+00,8.372448371843920238e-04
4.775441419760848016e-01,3.199426729923162238e+00,8.377971271732412729e-04
3.922661690023599435e-01,3.093443879991930157e+00,7.776310230327295684e-04
3.328354684818933817e-01,2.993238389805093380e+00,7.333765593204298085e-04
2.890007173510071858e-01,2.898352072507823340e+00,6.983009958450994226e-04
2.552978707775390155e-01,2.796204842648827960e+00,6.690195650504903108e-04
2.285634388449655219e-01,2.700037535290483959e+00,6.436946847486835297e-04
2.286194953301140531e-01,2.678796354051979023e+00,6.442478553367192310e-04
2.068838867440684626e-01,2.587958994045203021e+00,6.216660434522629404e-04
1.888358036747753432e-01,2.501164554699291553e+00,6.013998225299188160e-04
1.736121443920716767e-01,2.418666085551263389e+00,5.829279129022303836e-04
1.605986047562768804e-01,2.339725661149842928e+00,5.659303465385449004e-04
1.493486379727518298e-01,2.264602413415127025e+00,5.501365014671393038e-04
1.395368094340973530e-01,2.197154145923770674e+00,5.353463454669924902e-04
1.309127527810721170e-01,2.132649704615718012e+00,5.215200827068680817e-04
1.232732868216057376e-01,2.071269029786551030e+00,5.085103378593939941e-04
1.164616675844982879e-01,2.012641848992131166e+00,4.962364489014674815e-04
1.165057303711414527e-01,1.999676659873554696e+00,4.967912421362692676e-04
1.103950112063198791e-01,1.943714240726479803e+00,4.850910749123356065e-04
1.048907663750069386e-01,1.890164406847008705e+00,4.740395652315543165e-04
9.990683617975659736e-02,1.839105191544318618e+00,4.635530003714221975e-04
9.538033979394397455e-02,1.789929683386902948e+00,4.536185212477541399e-04
9.124639005466464448e-02,1.743068947121152679e+00,4.441362983593963028e-04
8.746076696457483202e-02,1.698068976843914335e+00,4.350426529679062666e-04
8.398147909462784499e-02,1.654662777372372773e+00,4.263952394424575464e-04
8.077037247237756068e-02,1.613098540083043320e+00,4.181226161556980702e-04
7.779984116658847371e-02,1.573064017277712834e+00,4.102139722451303623e-04
7.504525028275478571e-02,1.534397962707344076e+00,4.026485372468648050e-04
7.509696335046094073e-02,1.523919988541538206e+00,4.032225279858736729e-04
7.514562855288800525e-02,1.510622854521526337e+00,4.037794329331724366e-04
7.257560326896655978e-02,1.470945068620622909e+00,3.963702235459185940e-04
7.018069731765845531e-02,1.432646491320953785e+00,3.892787148694456579e-04
6.794294189743688150e-02,1.395731605310942980e+00,3.824729577843557528e-04
6.585083128993921009e-02,1.359780719830959717e+00,3.759612125326315364e-04
6.388660263015925878e-02,1.325246075467977125e+00,3.696781911616077768e-04
6.393832828548025315e-02,1.313437858080290122e+00,3.702286286566074092e-04
6.208990673372526137e-02,1.280212619768795079e+00,3.640796351577864007e-04
6.035037580744132685e-02,1.248152403079402228e+00,3.581819810967681763e-04
5.871093650313822382e-02,1.217106703713757287e+00,3.525236047084891059e-04
5.716790518128386789e-02,1.186599069262624706e+00,3.471281611017662462e-04
5.570368613984127970e-02,1.157531737896680957e+00,3.418842208545236155e-04
5.575762855087021408e-02,1.146793952924862303e+00,3.424496816075477340e-04
5.436576805352672653e-02,1.119069281954190975e+00,3.373183485824381676e-04
5.304589910670420155e-02,1.092218896189789179e+00,3.323685946288589422e-04
5.179317025905973843e-02,1.066179347349129003e+00,3.275914383220339030e-04
5.060573178000694894e-02,1.042983207747632646e+00,3.230011978879149910e-04
4.947279203384607332e-02,1.020694116522154804e+00,3.185295361301159552e-04
4.839344710944896294e-02,9.990088283537841285e-01,3.141838590392829014e-04
4.736381392658466777e-02,9.779732918618764259e-01,3.099803228844265628e-04
4.638943648322582658e-02,9.569963448505323100e-01,3.059968494344433593e-04
4.545091103232354324e-02,9.370743093771876087e-01,3.020637083644066127e-04
4.550857784715924698e-02,9.300723429930429775e-01,3.026297630616433371e-04
4.556441565172033442e-02,9.232188351328040055e-01,3.031767334026632516e-04
4.466108937306764726e-02,9.021727655620181974e-01,2.992565130222203770e-04
4.379630984514995551e-02,8.817129044770912749e-01,2.954609627013786237e-04
4.296751466949011444e-02,8.618343327803235088e-01,2.917802543333056654e-04
4.217611558510628300e-02,8.422496564389259088e-01,2.882414717696068942e-04
4.141367728447280239e-02,8.234160513596158193e-01,2.847759955132230956e-04
4.068097649291641665e-02,8.050528109511239094e-01,2.813895245849025342e-04
3.997648533500882534e-02,7.871693951328110339e-01,2.781042250030098142e-04
3.930247501598505000e-02,7.694938867940573912e-01,2.749494704301467412e-04
3.865521648505354513e-02,7.521798978171607697e-01,2.718963052630976097e-04
3.802616628902574097e-02,7.356696452969906375e-01,2.688735833370031443e-04
3.808625366323755562e-02,7.281876030591550863e-01,2.694328692905022162e-04
3.747739433675368464e-02,7.122097328327362531e-01,2.664401870092811654e-04
3.688980469496701275e-02,6.966398910806350653e-01,2.635303528625346486e-04
3.632284103018899868e-02,6.814357893244469278e-01,2.607030187690941763e-04
3.578455919275827513e-02,6.660439253414898175e-01,2.580395162541871865e-04
3.584494938791412538e-02,6.591125001987944154e-01,2.585961820994470551e-04
3.590483332043777759e-02,6.522760367767483913e-01,2.591446007004360053e-04
3.559319595273211650e-02,6.410510804003929364e-01,2.577107400498880943e-04
3.529162349162436041e-02,6.301157866340020286e-01,2.563422755233386884e-04
3.500097711430023156e-02,6.194521428738296587e-01,2.550329284397688935e-04
3.472574302290555581e-02,6.087581709615701442e-01,2.538243386603012330e-04
3.445734206326737242e-02,5.984709756762910393e-01,2.526342506289425203e-04
3.452613514415917018e-02,5.920311111377458690e-01,2.531919543782192440e-04
3.404730773469655941e-02,5.790753570106841330e-01,2.505477790055169384e-04
3.357925076974403039e-02,5.678752053450822901e-01,2.479671424380300998e-04
3.312567181216920231e-02,5.569066771301118823e-01,2.454589794161602550e-04
3.268672413965524604e-02,5.461500188487065088e-01,2.430229150391960175e-04
3.275608794489208442e-02,5.414000672223061583e-01,2.436060937494985055e-04
3.252868207653571153e-02,5.337154655063670594e-01,2.425633920108660713e-04
3.230872209861845173e-02,5.261515204555309300e-01,2.415744419650441130e-04
3.209563411433187519e-02,5.187147036905420672e-01,2.406311612661780040e-04
3.188913456229788834e-02,5.114057882245474085e-01,2.397276136060329450e-04
3.169097398231437990e-02,5.029900280346712993e-01,2.388394998799456455e-04
3.149869683946504573e-02,4.947262920293609700e-01,2.379797200983812665e-04
3.131213898632941722e-02,4.866166577006468263e-01,2.371546515147235725e-04
3.115677229989178773e-02,4.776625699391305324e-01,2.365734577039832617e-04
3.098488911333025994e-02,4.696713428488843989e-01,2.358353956577087659e-04
3.106222767906860471e-02,4.642484524063841267e-01,2.363884683667496274e-04
3.098730382289386839e-02,4.586224449063648900e-01,2.367571585154737066e-04
3.091414951456350479e-02,4.529850938059905019e-01,2.371306644238157450e-04
3.084056881447574255e-02,4.474023918102226771e-01,2.374951281713793823e-04
3.076918474830840286e-02,4.418080275570905879e-01,2.378646639707720925e-04
3.069569866861286342e-02,4.363043340207918286e-01,2.382172102989407096e-04
3.076805707019092742e-02,4.311150631320864179e-01,2.387654678875969884e-04
3.059609920578183068e-02,4.238749868389499742e-01,2.378832624790546443e-04
3.042507933532606276e-02,4.167662194007821785e-01,2.370344819508904996e-04
3.025538824752330505e-02,4.097611160489523230e-01,2.362200333917081657e-04
3.008938993426179057e-02,4.027787585056549768e-01,2.354530598438823151e-04
2.992198400743855541e-02,3.970877258737635085e-01,2.347016597843008172e-04
2.975769845962775162e-02,3.915121057013594696e-01,2.339647657341079826e-04
2.959511551240708374e-02,3.860268149929863002e-01,2.332563142796024959e-04
2.943543416783567929e-02,3.806097608384252373e-01,2.325790160079644958e-04
2.927882283424352791e-02,3.752421058535088116e-01,2.319349086776835184e-04
2.912400525780138236e-02,3.699696037953347783e-01,2.313073425793420233e-04
2.897376282639087947e-02,3.646904317247627314e-01,2.307230204067418683e-04
2.882339430631912849e-02,3.595365153790693324e-01,2.301436377259483384e-04
2.868022735202303136e-02,3.533168839885013623e-01,2.296000401388139549e-04
2.853731333499814893e-02,3.472795053108189700e-01,2.290498014030926998e-04
2.839574842161660465e-02,3.413409729470521792e-01,2.285100929893928439e-04
2.825969271780439523e-02,3.354309669870388366e-01,2.279998035651790750e-04
2.813030287651127614e-02,3.295367800842390338e-01,2.275204944397443728e-04
2.800200077015930697e-02,3.238141775018665847e-01,2.270314355514827811e-04
2.787777961268977575e-02,3.181777840061039142e-01,2.265524409959310519e-04
2.775819949489277683e-02,3.126072647904910018e-01,2.260882217224576354e-04
2.763846228042304842e-02,3.080301074862271671e-01,2.256539300148928178e-04
2.752076570203212252e-02,3.035458593048412368e-01,2.252185045829940781e-04
2.740513540547977189e-02,2.991402013012799399e-01,2.247851190952462213e-04
2.729415448990290052e-02,2.947758625121534859e-01,2.243667134388801165e-04
2.719004381214510518e-02,2.903799460625325346e-01,2.239873551060093308e-04
2.708501979979454841e-02,2.861236470370804308e-01,2.235855601153028207e-04
2.698342934953433525e-02,2.819187199628021556e-01,2.231917392996957876e-04
2.689226626848172444e-02,2.776098915497909880e-01,2.228614107212473021e-04
2.680027949944725069e-02,2.734430026567384875e-01,2.225034562686308492e-04
2.670850520644620432e-02,2.693822349780912728e-01,2.221306381119127183e-04
2.662122373944403667e-02,2.653552547799153394e-01,2.217698206722714836e-04
2.654177623106622474e-02,2.612966885941194750e-01,2.214447011136584794e-04
2.646254637219333863e-02,2.573386087001907074e-01,2.211043502987654341e-04
2.638581239838660650e-02,2.534519730288958828e-01,2.207594418771398912e-04
2.631266331666445163e-02,2.496125283110721405e-01,2.204192561289346761e-04
2.624904031632799284e-02,2.457207013588453837e-01,2.201219708065085487e-04
2.618348678578887034e-02,2.419638247458625602e-01,2.197931181808821823e-04
2.611909455769073976e-02,2.382352940429499355e-01,2.194779296044717279e-04
2.605569365923398814e-02,2.345511119004892453e-01,2.191653735255866069e-04
2.599608328409968444e-02,2.308675264054451393e-01,2.188724704319995899e-04
2.594081535484183201e-02,2.271753078802707937e-01,2.186025596446269242e-04
2.588391658985622623e-02,2.235723106512515768e-01,2.183146853873871958e-04
2.587716792662413112e-02,2.204813025645902258e-01,2.185350630743081537e-04
2.587120084883435395e-02,2.174056990940685108e-01,2.187582363568155977e-04
2.588449597032985855e-02,2.135291884011192853e-01,2.189938386274599381e-04
2.590455975907410627e-02,2.096553392547930439e-01,2.192409096030759335e-04
2.592504150568343893e-02,2.059239256916541583e-01,2.194527263672012762e-04
2.607260269305878078e-02,2.026440243041761347e-01,2.200034823035126397e-04
2.622827164236820816e-02,1.994046737800666269e-01,2.205556277199535362e-04
2.639645394852363838e-02,1.961545350503957896e-01,2.211279116819128774e-04
2.657038232817693010e-02,1.929854887600447322e-01,2.216875657119886270e-04
2.675121346874154843e-02,1.898837187879159061e-01,2.222393710327083527e-04
2.694508574215571245e-02,1.867908887530677076e-01,2.228054386452382339e-04
2.707468552967545738e-02,1.852632082061369811e-01,2.233559907685017513e-04
2.721170263516412696e-02,1.837325280363627522e-01,2.239213912837345524e-04
2.707023182272487102e-02,1.806641979009944166e-01,2.214626898792908889e-04
2.694137998724785085e-02,1.776555769962041287e-01,2.191305930612742411e-04
2.681652372202898704e-02,1.747570224011134876e-01,2.168755490671146638e-04
2.670190414056312564e-02,1.719241767282756739e-01,2.147247383388182118e-04
2.658755724970632284e-02,1.692105226310383903e-01,2.126248713988994788e-04
2.648251623792013953e-02,1.665509912872974174e-01,2.106215704586849300e-04
2.637937419480122433e-02,1.639726859911299905e-01,2.086816795384790655e-04
2.628297075825518012e-02,1.614429327250747059e-01,2.068266587737510056e-04
2.619094642535182635e-02,1.589737558573919018e-01,2.050396490921573423e-04
2.609992273746705380e-02,1.565830350663608705e-01,2.032987567856335673e-04
2.601379291865488913e-02,1.542448896009019632e-01,2.016244856687534974e-04
2.594388960504108096e-02,1.518910083212096918e-01,2.000762021942038577e-04
2.586425798651523916e-02,1.496600860547048772e-01,1.985124637919816529e-04
2.579313081378972403e-02,1.474492476929873397e-01,1.970297978403541810e-04
2.576972221409786282e-02,1.446935082006615969e-01,1.955791060883555268e-04
2.574930276400881970e-02,1.420217260386552605e-01,1.941633655819527220e-04
2.573858867995159130e-02,1.393920806148648550e-01,1.928071856583468767e-04
2.572765355719740937e-02,1.368545391714119375e-01,1.914706206686348226e-04
2.594170113609659337e-02,1.352130827845154371e-01,1.920468418355155468e-04
2.615789828278150195e-02,1.336382943949053492e-01,1.925954553777989677e-04
2.638741368313600108e-02,1.320698707279016615e-01,1.931605074373689800e-04
2.662491635509564927e-02,1.305320759894491311e-01,1.937224925711086431e-04
2.680365261121206433e-02,1.295443199956297364e-01,1.942747102713881222e-04
2.698777444276935847e-02,1.285614953698546448e-01,1.948342316087416646e-04
2.720420053028935539e-02,1.274913172511146220e-01,1.955241909825260790e-04
2.739544966916858393e-02,1.265371417845347901e-01,1.960775190462470498e-04
2.759244124627863864e-02,1.255901674765597387e-01,1.966366980234558824e-04
2.779119710653248781e-02,1.246605835058176293e-01,1.971866940988836400e-04
2.803074149099096107e-02,1.236284124124197026e-01,1.978950158622253398e-04
2.831849855263189608e-02,1.222391860518211165e-01,1.984507556719988515e-04
2.861806857027085482e-02,1.208557806586968153e-01,1.990180509092403626e-04
2.892199733374574422e-02,1.195089009289134196e-01,1.995715449851074479e-04
2.923714009559572752e-02,1.181787350421818344e-01,2.001297188853192821e-04
2.955979808559262845e-02,1.168738030696534758e-01,2.006832385037266183e-04
2.989400562520151683e-02,1.155812924687260601e-01,2.012433849184314496e-04
3.024035146677134592e-02,1.143074341738731653e-01,2.018073578777491105e-04
3.059049672262922903e-02,1.130710382879012293e-01,2.023549039056903899e-04
3.096354353369532714e-02,1.118212570841239234e-01,2.029353634664818817e-04
3.134794465050744217e-02,1.106078923429195532e-01,2.035080977013982992e-04
3.174172609573684689e-02,1.094373434517307980e-01,2.040669344232361963e-04
3.215057188443302266e-02,1.082936056299864669e-01,2.046265542085226770e-04
3.256758784132488677e-02,1.071921452271267505e-01,2.051703257079204215e-04
3.300965045650978286e-02,1.060976039153560535e-01,2.057358079752190599e-04
3.346198616698507072e-02,1.050366983874136823e-01,2.062912151126580947e-04
3.393035329998424221e-02,1.040008404185138180e-01,2.068472706267163424e-04
3.427104555912401096e-02,1.033437651218363923e-01,2.074039407412053056e-04
3.461500851117444572e-02,1.026966015913535063e-01,2.079549430019403096e-04
3.497335873307051701e-02,1.020510729585695220e-01,2.085247709051806723e-04
3.533044648573335084e-02,1.014257150900801929e-01,2.090733547802498785e-04
3.569852078335412904e-02,1.008050815297526354e-01,2.096322770561079697e-04
3.607668186172133945e-02,1.001915112662064150e-01,2.101980562621899302e-04
3.645702084244422519e-02,9.959451902398110124e-02,2.107504823364758271e-04
3.685866257179343242e-02,9.899167913912693129e-02,2.113372453260596237e-04
3.743650627624504207e-02,9.808651801344495103e-02,2.119084303272317389e-04
3.802731123673003949e-02,9.720679695531055098e-02,2.124729276606382553e-04
3.863195981985974997e-02,9.635578397130931116e-02,2.130297130505002059e-04
3.925749001622080847e-02,9.552668652016428619e-02,2.135893499580503630e-04
3.990082141859847831e-02,9.472200011383324902e-02,2.141467717118481981e-04
4.056321075385210806e-02,9.393529214783591375e-02,2.147061132970617828e-04
4.124547176249548919e-02,9.317237271532759213e-02,2.152647832073950477e-04
4.195587592800754939e-02,9.242119061914941258e-02,2.158368247880268151e-04
4.268610734074062413e-02,9.169292693563682595e-02,2.164074261257261799e-04
4.331497886873562214e-02,9.111745900209169968e-02,2.169601712159425566e-04
4.396294016534627730e-02,9.055874943286261469e-02,2.175168498689387421e-04
4.464885219609796702e-02,9.000483936423346598e-02,2.181060523999155175e-04
4.533420800235946069e-02,8.947811457412396807e-02,2.186689988080294357e-04
4.603393471317838992e-02,8.897171276889835612e-02,2.192272154590579371e-04
4.674188899367777428e-02,8.848865814290965415e-02,2.197719747663992780e-04
4.750018085071618795e-02,8.800508541648742467e-02,2.203637627501535965e-04
4.825675105589908448e-02,8.755017573364423655e-02,2.209266705197975684e-04
4.902304631810682628e-02,8.710627337071025211e-02,2.214835498465651364e-04
4.980316016572560595e-02,8.667149410591806769e-02,2.220398485993688815e-04
5.060376466015877039e-02,8.624531003792705597e-02,2.226028551144051417e-04
5.141715957183033703e-02,8.582900995454910420e-02,2.231632756456326122e-04
5.223822409595975380e-02,8.542542793533529355e-02,2.237141632312502054e-04
5.308063717021690997e-02,8.502897169505967134e-02,2.242726920128358659e-04
5.396739257090236996e-02,8.463205756212063835e-02,2.248665594894033997e-04
