x_cm,y_cm,heading_deg
4.300000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00
4.846554611453850470e+01,1.914802619749455204e+01,1.780820037536906986e+00
4.964121438353819116e+01,1.966169949684850593e+01,1.641093083371345518e+00
5.017743440473181238e+01,2.009390042516298180e+01,1.426122190688816405e+00
5.049712300894886141e+01,2.048943792467177261e+01,1.147554989802539227e+00
5.062750965625052402e+01,2.049198471332431382e+01,1.090430127666890403e+00
5.126989633903298937e+01,2.081782953864584229e+01,7.635600424810451425e-01
5.173188015133669637e+01,2.112120106656835006e+01,5.381652233947392672e-01
5.208753929797868665e+01,2.141050306754696564e+01,2.186493977916482145e-01
5.251785838613896118e+01,2.168707550730859168e+01,2.820794238104716578e-02
5.288074799016195726e+01,2.195142597588245437e+01,-1.144083154341159758e-01
5.317037954626452034e+01,2.195097728440408247e+01,-6.311451939727649729e-02
5.357974258637238307e+01,2.229000837043365024e+01,-5.517276873943877807e-02
5.394611954893357364e+01,2.260911332580555921e+01,1.137466643667044662e-02
5.427457563168239574e+01,2.291463687645769909e+01,-4.108936943424913724e-02
5.458019742692209064e+01,2.320704933287308691e+01,3.134893885632847321e-02
5.486184428474933128e+01,2.348938937817393935e+01,8.508556975933867506e-02
5.509874800148435270e+01,2.368244901492771604e+01,3.573100428484306534e-01
5.532302531102761378e+01,2.386906431888708013e+01,5.454514843595223983e-01
5.553148984145765610e+01,2.405015846787311773e+01,7.093022760047730246e-01
5.572924681049999407e+01,2.422620594713333020e+01,9.015628671251291193e-01
5.595361261847907741e+01,2.423049255102397836e+01,1.287491132371282099e+00
5.616173258291513548e+01,2.433038130086958972e+01,1.641358411742105172e+00
5.636219878675843376e+01,2.442855488903321870e+01,1.963619966829663221e+00
5.655212800437215748e+01,2.452540387772285158e+01,2.242506107462246323e+00
5.674107893657903645e+01,2.462485129426953989e+01,2.099375627836676639e+00
5.691936132844415397e+01,2.472478288687852555e+01,2.011057763438498291e+00
5.716828051938265531e+01,2.480543070421030549e+01,1.944126485992251352e+00
5.740982377439163287e+01,2.488929051283963645e+01,1.865347905668345740e+00
5.763833408583177942e+01,2.497536615945583094e+01,1.805006603288823896e+00
5.785931731978796932e+01,2.506354415756811349e+01,1.729214461956652515e+00
5.807533028848148149e+01,2.515377481826708816e+01,1.615171204628123469e+00
5.830349168380173808e+01,2.516035655745297106e+01,1.689518680333270240e+00
5.859397329239560293e+01,2.516892270732274284e+01,1.688747077922595929e+00
5.892143575872677275e+01,2.524068157461249484e+01,1.589078878973177789e+00
5.923803841523599800e+01,2.531699634039140889e+01,1.446935661120238192e+00
5.954325910258181409e+01,2.539681693302543053e+01,1.375112077524217380e+00
5.984633653900090167e+01,2.548038151916211902e+01,1.270212987255022741e+00
6.013619965214639507e+01,2.556650003132392257e+01,1.254723476063096532e+00
6.042504156780782409e+01,2.557302092952534522e+01,1.331857415785872911e+00
6.078185443623910800e+01,2.557214751285187049e+01,1.296836133253100432e+00
6.112611451914094118e+01,2.557933467582566323e+01,1.256305236421926708e+00
6.146116117459700945e+01,2.559303929836481828e+01,1.317234070701216897e+00
6.179901257114740787e+01,2.561354949457353314e+01,1.255689406496846683e+00
6.211563433876334983e+01,2.563764073184222170e+01,1.515973123696291003e+00
6.240833044584093869e+01,2.564655110273753991e+01,1.971391505280577938e+00
6.272781602146914537e+01,2.567205881849380589e+01,2.420942750962422174e+00
6.303863552093041989e+01,2.570143304342533597e+01,2.803824856209531369e+00
6.334223568137701221e+01,2.573419766534595254e+01,3.170082453949301105e+00
6.358002405535210499e+01,2.576677796103302853e+01,3.288960013540148886e+00
6.380605362195721852e+01,2.580176061296387147e+01,3.263909900774281336e+00
6.406098732999441836e+01,2.579951726589900574e+01,3.207644545294018545e+00
6.430926984934154689e+01,2.580121785592494987e+01,3.204395575103476279e+00
6.456893939561877005e+01,2.580783163370071520e+01,3.161527897517528274e+00
6.480841664099018828e+01,2.581691662624182015e+01,3.108918661854064069e+00
6.503475739691087654e+01,2.582918251541616428e+01,3.094974340535795232e+00
6.525725012149338511e+01,2.584123643169904128e+01,3.107152203954851366e+00
6.558984319418580355e+01,2.584378371658674922e+01,3.135859417651649217e+00
6.591489226319711747e+01,2.585058220017511132e+01,3.091049861521739217e+00
6.623232287785361905e+01,2.586095462258142774e+01,3.046350003755366576e+00
6.655174572024655788e+01,2.587505525782380289e+01,3.008655973827521368e+00
6.685714584653892700e+01,2.589160134502555621e+01,2.977061945420929945e+00
6.720196856655260831e+01,2.588146628275695704e+01,2.956129598493749455e+00
6.753949666420051301e+01,2.587549911064260755e+01,2.873679158149884394e+00
6.787963344789690723e+01,2.587352181222066250e+01,2.826452935195156613e+00
6.821673422353332228e+01,2.587475011815231696e+01,2.837365519629201138e+00
6.853373467600874847e+01,2.587830519656162309e+01,2.775064250972160806e+00
6.882462785305408204e+01,2.589227572848228931e+01,2.724122446073183657e+00
6.917101995668888037e+01,2.587566436725495578e+01,2.679483307396222536e+00
6.951013956582806941e+01,2.586248727478620779e+01,2.644158634840151567e+00
6.984355031512278345e+01,2.585249232000994013e+01,2.599235387639829309e+00
7.019404087048656038e+01,2.584655246282855501e+01,2.527013580609327903e+00
7.048429902386713763e+01,2.585947102129918918e+01,2.569764668690330378e+00
7.077238172577369824e+01,2.587267602313526993e+01,2.679156212051278629e+00
7.109120863138609536e+01,2.577495727222996180e+01,2.809027418396777609e+00
7.140613597721858241e+01,2.568955633762487167e+01,2.861937001639372813e+00
7.171708531097934269e+01,2.561446784876837768e+01,3.241064781800705230e+00
7.203673254655436153e+01,2.555072439712767363e+01,3.567954289782467203e+00
7.234526594483536144e+01,2.549601238562280869e+01,3.891857711030280775e+00
7.263535030003568238e+01,2.551663146942297544e+01,4.239590194112098587e+00
7.297115549799917744e+01,2.550936271936716082e+01,4.601622761072379220e+00
7.323482331083013719e+01,2.549830924884694383e+01,4.674166511138039048e+00
7.349474509618116258e+01,2.548901184703437650e+01,4.562295259921598678e+00
7.375187702699527392e+01,2.548080296770524455e+01,4.502364453471233041e+00
7.398123921602820019e+01,2.549891144184657676e+01,4.526075662174155134e+00
7.423540125566873371e+01,2.541301275154519956e+01,4.594498696295782558e+00
7.448892313245787022e+01,2.533589539955834979e+01,4.570603034360181560e+00
7.474112588621468944e+01,2.526670625499564338e+01,4.548208418032505307e+00
7.499160642212994787e+01,2.520469468407199898e+01,4.573457026848444684e+00
7.530131085648554290e+01,2.515526416265687359e+01,4.639537008806517093e+00
7.562492487682452236e+01,2.507048877117468066e+01,4.728150800841216750e+00
7.594537350895174654e+01,2.499449272319780491e+01,4.800542067688414072e+00
7.631478787075043613e+01,2.493169698395248446e+01,4.881020103609353455e+00
7.663806114430931871e+01,2.487299079302198379e+01,4.883944934270071592e+00
7.692662074516141502e+01,2.489759065721287712e+01,4.861485074246811422e+00
7.723349897946528131e+01,2.491110248206546984e+01,4.747188263289380039e+00
7.754119013556496043e+01,2.492381813186666406e+01,4.665746942685675691e+00
7.784609949205690782e+01,2.493568273702783955e+01,4.520925794077801818e+00
7.815196692780520493e+01,2.494661990013552355e+01,4.489205386918722951e+00
7.845304496228403934e+01,2.495690772442280192e+01,4.263091903304363051e+00
7.874066161103544914e+01,2.497735916791841859e+01,3.871433489743972167e+00
7.906357814378984017e+01,2.488140109751649476e+01,3.508297660136958207e+00
7.938341494087310934e+01,2.479404206203259875e+01,3.040058568936581551e+00
7.970147290792384354e+01,2.471458175931384105e+01,2.553504774446516912e+00
8.002216994853638710e+01,2.464234041661432428e+01,2.155477173204723318e+00
8.027228359653979339e+01,2.457332560680672273e+01,1.853459808864025282e+00
8.053504269422933248e+01,2.446677607515950470e+01,1.944508680379771537e+00
8.079510907389075669e+01,2.436741310745523847e+01,1.851731470324758932e+00
8.105363197043251944e+01,2.427425021426884655e+01,1.806922885815564150e+00
8.131161646275519672e+01,2.418710269406744828e+01,1.737200354354724974e+00
8.156610876193333581e+01,2.410522960366423462e+01,1.711935513894414562e+00
8.183435063167107160e+01,2.400890145394417630e+01,1.678642549659423722e+00
8.209687246127835181e+01,2.391837622141177278e+01,1.599428273898341191e+00
8.242691957083239629e+01,2.383502315990252640e+01,1.687634750132445793e+00
8.274797239475400090e+01,2.375654098195597896e+01,1.793263968401972441e+00
8.307802369460790715e+01,2.366973488555158767e+01,1.815852608790970546e+00
8.340844838417906715e+01,2.358744480091805684e+01,2.055475819291153083e+00
8.374004191916365869e+01,2.350932609319366406e+01,2.441297044839453978e+00
8.406248081671485295e+01,2.343518038050556029e+01,2.769750324989204149e+00
8.438891852997517162e+01,2.336586876715002958e+01,3.184225340761859702e+00
8.471285131202557750e+01,2.330025030317906243e+01,3.578427479992435156e+00
8.497242222443618687e+01,2.323401173385502716e+01,3.900926768994005478e+00
8.522696901780834366e+01,2.317016310434376436e+01,4.248110728238562395e+00
8.548518730265747934e+01,2.311020505129139124e+01,4.594424674216096349e+00
8.574168330686461559e+01,2.305229511789726971e+01,5.027845287789922679e+00
8.600165660836411519e+01,2.299739049133252067e+01,5.359074383904038008e+00
8.625289467885833972e+01,2.294417872285505311e+01,5.649436218606053828e+00
8.650975556436826253e+01,2.289826674227171921e+01,6.015510832037824329e+00
8.677531976082360643e+01,2.285556601654099396e+01,6.314517922691361917e+00
8.703161372316597522e+01,2.281362162494615475e+01,6.666537373251500753e+00
8.728780199896492320e+01,2.277624994520472512e+01,7.006932629940530788e+00
8.754246364026685967e+01,2.274019909244872295e+01,7.388315463539478323e+00
8.780059117800992396e+01,2.270613520951871678e+01,7.763495217346690680e+00
8.805215564533332895e+01,2.267292318296784615e+01,8.070007180704422467e+00
8.830773799515610278e+01,2.264615619293288873e+01,8.488616435633469237e+00
8.856056456866687654e+01,2.262023168318191324e+01,8.877106415045092902e+00
8.881853054820186344e+01,2.259626384273644817e+01,9.262558387054518505e+00
8.906687240872409461e+01,2.257200031572395815e+01,9.606425232590531493e+00
8.932587881154256593e+01,2.255190993634331065e+01,9.555830903230861040e+00
8.958226661144804837e+01,2.253339633655361496e+01,9.523218240353577002e+00
8.983962064620355648e+01,2.251687843706046621e+01,9.510442950525691330e+00
9.009877282178734959e+01,2.250241953918480320e+01,9.495914889043072904e+00
9.035168337838683783e+01,2.248845361186078051e+01,9.507764098466987335e+00
9.059440793730411201e+01,2.253149537038104455e+01,9.426288140541288385e+00
9.083671481736928399e+01,2.257249245098338264e+01,9.375416314636714432e+00
9.114577281898631611e+01,2.262217626996664777e+01,9.306012321623997607e+00
9.145688479412937966e+01,2.266913275729074329e+01,9.601215473440007031e+00
9.175797639825199781e+01,2.271189075522004686e+01,1.015394406508457870e+01
9.204209638656698189e+01,2.276477078220545991e+01,1.093241252644372175e+01
9.232582844690890056e+01,2.282158005424625813e+01,1.171186235270810272e+01
9.261385905467167845e+01,2.288341445981143707e+01,1.252084451358509298e+01
9.289782680364878331e+01,2.294846944770246466e+01,1.328593867149544039e+01
9.317891569012378739e+01,2.301679688635429244e+01,1.403914914853763740e+01
9.346263293555851703e+01,2.308991978872913720e+01,1.486566984901499922e+01
9.360645997340249380e+01,2.312919418695552665e+01,1.568078469331634217e+01
9.375161263297786718e+01,2.317113353061541403e+01,1.655068088545155547e+01
9.391793792973024324e+01,2.327746646974793165e+01,1.726297904565449315e+01
9.408787272691579062e+01,2.338340762454355470e+01,1.796459434866121541e+01
9.425557206950601596e+01,2.348694548316465003e+01,1.860448219534479009e+01
9.442546402926306826e+01,2.358953963890271410e+01,1.934157736257771276e+01
9.459100362611243895e+01,2.368891221020514948e+01,1.999551610971610316e+01
