x,y,phi
4.298154464114502105e+01,1.805541644101677434e+01,1.040794658324846605e-01
4.765850856864767593e+01,1.952182374502059048e+01,1.378705567564128653e+00
4.800597174265897848e+01,1.958230143122495548e+01,1.392812582287656697e+00
4.843184239752607567e+01,1.964010293635233140e+01,1.488961862237849321e+00
4.886819985013379863e+01,1.967445030282175011e+01,1.529561305440944707e+00
4.927165687519972437e+01,1.967652198746366921e+01,1.516094001339028718e+00
4.962761613529075788e+01,1.965033360585829314e+01,1.490394210152712562e+00
4.994207334873900095e+01,1.960759810729802410e+01,1.584734701255088751e+00
5.022979391150196449e+01,1.956072855784110232e+01,1.491842120363862767e+00
5.050550076068677186e+01,1.951778466970570847e+01,1.545876048773314304e+00
5.077972414861299200e+01,1.948115392481862784e+01,1.640073947346245786e+00
5.105798358169082007e+01,1.944927070103640077e+01,1.653261517089457344e+00
5.134150386746205896e+01,1.941957772195802789e+01,1.874290683096089927e+00
5.162808944613563966e+01,1.939080350722641555e+01,2.306866486320988674e+00
5.191369772717123254e+01,1.936386422240889615e+01,2.341986698531344668e+00
5.219393425054700231e+01,1.934120951891587836e+01,2.740547786079669201e+00
5.246510082147707976e+01,1.932532290875433034e+01,3.132188070613210584e+00
5.272529833794759213e+01,1.931760161843019930e+01,3.587088908087646466e+00
5.297464425275441613e+01,1.931792418213394669e+01,3.911851046929360365e+00
5.321485238790830863e+01,1.932496806179493021e+01,4.225562518445306281e+00
5.344848539330828885e+01,1.933683946673648890e+01,4.596010583755734125e+00
5.367817344597792584e+01,1.935169404912442204e+01,4.993066544052041422e+00
5.390610785968578966e+01,1.936803260227891244e+01,5.392133318989035473e+00
5.413379691581749853e+01,1.938483674833346981e+01,5.766898604372159731e+00
5.436206441396338107e+01,1.940151209800270848e+01,6.110786178586396389e+00
5.459122818800618404e+01,1.941774255178061637e+01,6.041286452382021110e+00
5.482144026520727920e+01,1.943318647508300145e+01,6.379034741842219525e+00
5.505313577572067629e+01,1.944703246528492713e+01,6.372227130147939178e+00
5.528746737889781571e+01,1.945752923315254534e+01,6.342594102145207025e+00
5.552645824084508774e+01,1.946191059406463353e+01,6.383264849015301223e+00
5.577275465964407886e+01,1.945684535409680649e+01,6.345525335287190316e+00
5.602892053512791648e+01,1.943955588140171642e+01,6.308652041355701456e+00
5.629656661318117017e+01,1.940909640314467310e+01,6.391165438387795383e+00
5.657576391242077563e+01,1.936699169899734585e+01,6.362282313836046477e+00
5.686510744177381582e+01,1.931662519738866024e+01,6.421578406634337099e+00
5.716241047410220233e+01,1.926158021604444315e+01,6.356649905979424808e+00
5.746557231705857305e+01,1.920403390953895695e+01,6.414822606447039277e+00
5.777304133780289419e+01,1.914444349037490412e+01,6.441298707090785669e+00
5.808361662143816773e+01,1.908287045952075545e+01,6.573387586325608822e+00
5.839588502151023874e+01,1.902089857771281700e+01,6.643192040156574052e+00
5.870784941803315604e+01,1.896256881133864880e+01,6.477553509148011202e+00
5.901711257314822490e+01,1.891344399071647331e+01,6.514188620718231348e+00
5.932149951610755778e+01,1.887833958709335036e+01,6.627159557338762497e+00
5.961965234891304277e+01,1.885920983795138284e+01,6.653735931128275993e+00
5.991119020994194955e+01,1.885444745622811524e+01,7.009188134094407552e+00
6.019637888938737547e+01,1.885982777246465147e+01,7.455827998948348245e+00
6.047555923164388503e+01,1.887039790827965646e+01,7.942810767950346573e+00
6.074873092984925194e+01,1.888228225822238215e+01,8.416016147077410636e+00
6.101552279567158621e+01,1.889364970613024042e+01,8.849789963020844752e+00
6.127554167340123570e+01,1.890468790680886002e+01,8.550283943684421573e+00
6.152893692494833999e+01,1.891672687319728752e+01,8.613401212284756525e+00
6.177685724606389783e+01,1.893110912608984009e+01,8.594873334962771949e+00
6.202158622957545475e+01,1.894835659777585590e+01,8.617774943939911836e+00
6.226625400164509472e+01,1.896799169739857405e+01,8.575903964229112830e+00
6.251423113705153867e+01,1.898894179095019652e+01,8.571075453316593595e+00
6.276838427158003242e+01,1.901027256916840003e+01,8.559515872086212340e+00
6.303049887978579591e+01,1.903170086426517926e+01,8.628891731433368406e+00
6.330103985785698484e+01,1.905368914366608735e+01,8.170150184209246547e+00
6.357932052907896292e+01,1.907712062009082743e+01,8.140593545765154815e+00
6.386392739573726374e+01,1.910280970641714404e+01,8.169034508391574079e+00
6.415317032627103799e+01,1.913115014899915423e+01,8.187400035226808370e+00
6.444540623942678792e+01,1.916205465833886024e+01,8.199316368548672074e+00
6.473922929645323165e+01,1.919512930638961734e+01,7.648975988463245557e+00
6.503360125581285445e+01,1.922989340073530329e+01,7.597873663008315681e+00
6.532792305265094512e+01,1.926592569011652500e+01,7.634936441687083075e+00
6.562199227762692999e+01,1.930287075633500748e+01,7.704225263518611477e+00
6.591579463538627692e+01,1.934038817060660165e+01,7.732164132766384590e+00
6.620922109040104431e+01,1.937811721763872086e+01,7.643321702203748735e+00
6.650188464453459858e+01,1.941569755177329171e+01,6.828732269400125787e+00
6.679314947375227973e+01,1.945283328239689169e+01,6.851061066373747899e+00
6.708236156927628713e+01,1.948936465962255227e+01,6.809033267358023167e+00
6.736912431662726419e+01,1.952530045394442126e+01,6.840786645241544228e+00
6.765345417807489525e+01,1.956081284863389769e+01,6.902105658785683495e+00
6.793576962149694509e+01,1.959618465197867110e+01,7.002312195733185085e+00
6.821671398674142495e+01,1.963174013739116930e+01,7.052592672993547751e+00
6.849686399130348491e+01,1.966776908345714858e+01,7.070146425222312736e+00
6.877639613608945979e+01,1.970445097843007431e+01,7.413873609421356647e+00
6.905479147144933449e+01,1.974179343362552075e+01,7.744678356188274826e+00
6.933072520180772358e+01,1.977960316176166344e+01,8.081684434702220088e+00
6.960226255183772537e+01,1.981751595134760535e+01,8.414814513943710494e+00
6.986737476168414673e+01,1.985509246924548421e+01,8.183582354770788214e+00
7.012463199207947184e+01,1.989194918660293254e+01,8.293452202356853320e+00
7.037380341130007366e+01,1.992787557440671620e+01,8.225023406421549055e+00
7.061611498178586999e+01,1.996288588701003519e+01,8.254821899581703093e+00
7.085411767953745255e+01,1.999719430208106274e+01,8.291608426622948613e+00
7.109126102957864646e+01,2.003113414834628614e+01,8.306072292054260231e+00
7.133132310383960828e+01,2.006506183101807395e+01,8.260226940749264557e+00
7.157779118263263740e+01,2.009927926750147265e+01,8.184529212466649994e+00
7.183323709037246374e+01,2.013398993355734845e+01,8.225524786936279753e+00
7.209878469001449730e+01,2.016928382261503572e+01,8.242368315622154995e+00
7.237384075924187243e+01,2.020514988345338026e+01,8.317923778811508129e+00
7.265628414686695180e+01,2.024148482251009185e+01,7.673788823165850204e+00
7.294311691984310642e+01,2.027809559942357609e+01,7.720954558756604413e+00
7.323136690209690869e+01,2.031468248682872257e+01,7.713388669872501602e+00
7.351889733267674387e+01,2.035080650254914403e+01,7.682752414505473304e+00
7.380480451177891155e+01,2.038585262812347665e+01,7.591073571840889933e+00
7.408931857983549207e+01,2.041903102284294036e+01,7.530049034562914301e+00
7.437331641632252399e+01,2.044945144068010734e+01,7.424368624010898365e+00
7.465766051581066165e+01,2.047629926692315649e+01,7.436883170043739888e+00
7.494260700817416421e+01,2.049906849173842716e+01,7.282586228030806907e+00
7.522748129475297674e+01,2.051773890520324173e+01,6.900670640287095203e+00
7.551074040958667410e+01,2.053277762833349840e+01,4.487370566018438645e+00
7.579039255682192788e+01,2.054493855997507268e+01,4.041933491025743841e+00
7.606460216841108490e+01,2.055497010023600168e+01,3.610460558365932382e+00
7.633219180776303858e+01,2.056341336181736068e+01,3.255659319627380199e+00
7.659287606208698662e+01,2.057058720147487563e+01,2.992356006394731871e+00
7.684720997362643402e+01,2.057672211194818246e+01,3.085262233927969611e+00
7.709643422445026317e+01,2.058208889778162032e+01,2.099452615582337867e+00
7.734238072503563899e+01,2.058700672406871846e+01,2.080539534322792150e+00
7.758744072975535744e+01,2.059173174625951575e+01,2.020922641500427108e+00
7.783444516622594733e+01,2.059633045420427422e+01,2.014151287644521116e+00
7.808627505518180101e+01,2.060066054499679211e+01,1.987198189602987330e+00
7.834522341296928971e+01,2.060448696182237427e+01,1.937908016860000471e+00
7.861232272905374430e+01,2.060767675053233816e+01,1.978836129924950837e+00
7.888696793473732782e+01,2.061034604703027284e+01,2.098115469619131979e+00
7.916705161023406845e+01,2.061285126308683857e+01,1.267508918088805947e+00
7.944954923757367737e+01,2.061562709117421832e+01,1.533310180497112540e+00
7.973129107674104432e+01,2.061895758111311139e+01,1.914234197763180934e+00
8.000958269566022807e+01,2.062284420532282070e+01,2.299799954231619648e+00
8.028248949941861667e+01,2.062706935632710881e+01,2.740365181019165153e+00
